2017-05-03 11:01:14.4832 | INFO | HarnessControl.atopLog | PollControl Loop:82 

2017-05-03 11:01:14.5002 | INFO | HarnessControl.atopLog | PollControl Loop:83 

2017-05-03 11:01:14.5002 | INFO | HarnessControl.atopLog | PollControl Loop:84 

2017-05-03 11:01:14.5002 | INFO | HarnessControl.atopLog | PollControl Loop:85 

2017-05-03 11:01:14.5212 | INFO | HarnessControl.atopLog | PollControl Loop:86 

2017-05-03 11:01:14.5212 | INFO | HarnessControl.atopLog | PollControl Loop:87 

2017-05-03 11:01:14.5322 | INFO | HarnessControl.atopLog | PollControl Loop:88 

2017-05-03 11:01:14.5322 | INFO | HarnessControl.atopLog | PollControl Loop:89 

2017-05-03 11:01:14.5322 | INFO | HarnessControl.atopLog | PollControl Loop:90 

2017-05-03 11:01:14.5452 | INFO | HarnessControl.atopLog | PollControl Loop:91 

2017-05-03 11:01:14.5452 | INFO | HarnessControl.atopLog | PollControl Loop:92 

2017-05-03 11:01:14.5452 | INFO | HarnessControl.atopLog | PollControl Loop:93 

2017-05-03 11:01:14.5452 | INFO | HarnessControl.atopLog | PollControl Loop:94 

2017-05-03 11:01:14.5452 | INFO | HarnessControl.atopLog | PollControl Loop:95 

2017-05-03 11:01:14.5612 | INFO | HarnessControl.atopLog | PollControl Loop:96 

2017-05-03 11:01:14.5612 | INFO | HarnessControl.atopLog | PollControl Loop:97 

2017-05-03 11:01:14.5612 | INFO | HarnessControl.atopLog | PollControl Loop:98 

2017-05-03 11:01:14.5612 | INFO | HarnessControl.atopLog | PollControl Loop:99 

2017-05-03 11:01:14.5612 | INFO | HarnessControl.atopLog | PollControl Loop:100 

2017-05-03 11:01:14.5772 | INFO | HarnessControl.atopLog | PollControl Loop:101 

2017-05-03 11:01:14.5772 | INFO | HarnessControl.atopLog | PollControl Loop:102 

2017-05-03 11:01:14.5772 | INFO | HarnessControl.atopLog | PollControl Loop:103 

2017-05-03 11:01:14.5772 | INFO | HarnessControl.atopLog | PollControl Loop:104 

2017-05-03 11:01:14.5772 | INFO | HarnessControl.atopLog | PollControl Loop:105 

2017-05-03 11:01:14.5922 | INFO | HarnessControl.atopLog | PollControl Loop:106 

2017-05-03 11:01:14.5922 | INFO | HarnessControl.atopLog | PollControl Loop:107 

2017-05-03 11:01:14.5922 | INFO | HarnessControl.atopLog | PollControl Loop:108 

2017-05-03 11:01:14.5922 | INFO | HarnessControl.atopLog | PollControl Loop:109 

2017-05-03 11:01:14.6072 | INFO | HarnessControl.atopLog | PollControl Loop:110 

2017-05-03 11:01:14.6072 | INFO | HarnessControl.atopLog | PollControl Loop:111 

2017-05-03 11:01:14.6072 | INFO | HarnessControl.atopLog | PollControl Loop:112 

2017-05-03 11:01:14.6072 | INFO | HarnessControl.atopLog | PollControl Loop:113 

2017-05-03 11:01:14.6242 | INFO | HarnessControl.atopLog | PollControl Loop:114 

2017-05-03 11:01:14.6242 | INFO | HarnessControl.atopLog | PollControl Loop:115 

2017-05-03 11:01:14.6242 | INFO | HarnessControl.atopLog | PollControl Loop:116 

2017-05-03 11:01:14.6242 | INFO | HarnessControl.atopLog | PollControl Loop:117 

2017-05-03 11:01:14.6242 | INFO | HarnessControl.atopLog | PollControl Loop:118 

2017-05-03 11:01:14.6412 | INFO | HarnessControl.atopLog | PollControl Loop:119 

2017-05-03 11:01:14.6412 | INFO | HarnessControl.atopLog | PollControl Loop:120 

2017-05-03 11:01:14.6412 | INFO | HarnessControl.atopLog | PollControl Loop:121 

2017-05-03 11:01:14.6412 | INFO | HarnessControl.atopLog | PollControl Loop:122 

2017-05-03 11:01:14.6552 | INFO | HarnessControl.atopLog | PollControl Loop:123 

